WELL ID,FLUID,YEAR,"PRODUCTION
HOURS","INJECTION
HOURS",,"ANNUAL
VOLUME",,"CUMULATIVE
VOLUME","ANNUALIZED
VOLUME","CONSTANT
K"
,Condensate,1995,"8,371",0,,130.8,,130.8,,
,,1999,"8,655",0,,15.6,,146.4,,
,,2008,"5,423",0,,10.0,,156.4,,
,,2012,"5,008",0,,10.4,,166.8,,
,,2013,"8,226",0,,17.6,,184.4,,
,,2014,"7,321",0,,2.3,,186.7,,
,,2015,"8,192",0,,3.5,,190.2,,
,,2017,"7,559",0,,0.9,,191.1,,
,Gas,1969,0,0,,"18,087.9",,"18,087.9",,
,,1970,"8,600",0,,"42,377.1",,"60,465.0","  39,420.56 ",
,,1971,"7,822",0,,"38,891.2",,"99,356.2",,
,,1972,"7,171",0,,"33,427.1",,"132,783.3",,
,,1973,"8,508",0,,"37,005.9",,"169,789.2",,
,,1974,"8,260",0,,"31,106.2",,"200,895.4",,
,,1975,"8,375",0,,"26,764.5",,"227,659.9",,
,,1976,"8,458",0,,"22,237.2",,"249,897.1",,
,,1977,"4,792",0,,"12,136.4",,"262,033.5",,
,,1978,"6,571",0,,"14,954.5",,"276,988.0",,
,,1979,"7,759",0,,"15,919.2",,"292,907.2",,
,,1980,"6,686",0,,"11,800.8",,"304,708.0",,
,,1981,"7,078",0,,"11,077.3",,"315,785.3",,
,,1982,"4,604",0,,"7,965.9",,"323,751.2",,
,,1983,"6,624",0,,"9,393.2",,"333,144.4",,
,,1984,"7,852",0,,"9,493.3",,"342,637.7",,
,,1985,"8,344",0,,"10,683.6",,"353,321.3",,
,,1986,"8,480",0,,"10,387.5",,"363,708.8",,
,,1987,"8,667",0,,"10,934.5",,"374,643.3",,
,,1988,"6,318",0,,"6,823.5",,"381,466.8",,
,,1989,"5,469",0,,"7,382.2",,"388,849.0",,
,,1992,"5,748",0,,"14,920.8",,"403,769.8",,
,,1993,"8,709",0,,"17,465.3",,"421,235.1",,
,,1994,"8,621",0,,"14,963.3",,"436,198.4",,
,,1995,"8,371",0,,"14,650.1",,"450,848.5",,
,,1996,"8,548",0,,"13,193.9",,"464,042.4",,
,,1997,"8,721",0,,"13,202.3",,"477,244.7",,
,,1998,"7,483",0,,"10,983.6",,"488,228.3",,
,,1999,"8,655",0,,"11,934.1",,"500,162.4",,
,,2000,"8,452",0,,"10,864.5",,"511,026.9",,
,,2001,"8,677",0,,"10,739.4",,"521,766.3",,
,,2002,"8,374",0,,"9,833.2",,"531,599.5",,
,,2003,"8,357",0,,"10,162.5",,"541,762.0",,
,,2004,"7,806",0,,"7,449.7",,"549,211.7",,
,,2005,"7,983",0,,"7,720.1",,"556,931.8",,
,,2006,"8,759",0,,"8,522.9",,"565,454.7",,
,,2007,"8,759",0,,"7,705.7",,"573,160.4",,
,,2008,"5,423",0,,"4,271.4",,"577,431.8",,
,,2009,"1,392",0,,"1,439.4",,"578,871.2",,
,,2010,"8,326",0,,"7,244.2",,"586,115.4",,
,,2011,"8,246",0,,"7,792.6",,"593,908.0",,
,,2012,"5,008",0,,"3,906.3",,"597,814.3",,
,,2013,"8,226",0,,"6,450.6",,"604,264.9",,
,,2014,"7,321",0,,"4,389.8",,"608,654.7",,
,,2015,"8,192",0,,"5,521.5",,"614,176.2",,
,,2016,"8,783",0,,"5,059.8",,"619,236.0",,
,,2017,"7,559",0,,"4,448.8",,"623,684.8","  4,708.35 ",-0.04521171
,Water,1969,0,0,,39.4,,39.4,,
,,1970,"8,600",0,,68.5,,107.9,  63.72 ,
,,1971,"7,822",0,,28.3,,136.2,,
,,1972,"7,171",0,,75.9,,212.1,,
,,1973,"8,508",0,,62.4,,274.5,,
,,1974,"8,260",0,,77.4,,351.9,,
,,1975,"8,375",0,,45.0,,396.9,,
,,1976,"8,458",0,,91.9,,488.8,,
,,1977,"4,792",0,,96.0,,584.8,,
,,1978,"6,571",0,,100.1,,684.9,,
,,1979,"7,759",0,,143.6,,828.5,,
,,1980,"6,686",0,,134.2,,962.7,,
,,1981,"7,078",0,,111.5,,"1,074.2",,
,,1982,"4,604",0,,101.4,,"1,175.6",,
,,1983,"6,624",0,,138.6,,"1,314.2",,
,,1984,"7,852",0,,213.0,,"1,527.2",,
,,1985,"8,344",0,,87.1,,"1,614.3",,
,,1986,"8,480",0,,118.5,,"1,732.8",,
,,1987,"8,667",0,,142.2,,"1,875.0",,
,,1988,"6,318",0,,75.9,,"1,950.9",,
,,1989,"5,469",0,,58.1,,"2,009.0",,
,,1992,"5,748",0,,144.3,,"2,153.3",,
,,1993,"8,709",0,,193.5,,"2,346.8",,
,,1994,"8,621",0,,140.9,,"2,487.7",,
,,1995,"8,371",0,,149.2,,"2,636.9",,
,,1996,"8,548",0,,383.8,,"3,020.7",,
,,1997,"8,721",0,,587.2,,"3,607.9",,
,,1998,"7,483",0,,351.3,,"3,959.2",,
,,1999,"8,655",0,,351.0,,"4,310.2",,
,,2000,"8,452",0,,9.8,,"4,320.0",,
,,2001,"8,677",0,,22.6,,"4,342.6",,
,,2002,"8,374",0,,50.3,,"4,392.9",,
,,2003,"8,357",0,,54.7,,"4,447.6",,
,,2004,"7,806",0,,48.2,,"4,495.8",,
,,2005,"7,983",0,,25.1,,"4,520.9",,
,,2006,"8,759",0,,53.4,,"4,574.3",,
,,2007,"8,759",0,,50.8,,"4,625.1",,
,,2008,"5,423",0,,28.7,,"4,653.8",,
,,2009,"1,392",0,,14.9,,"4,668.7",,
,,2010,"8,326",0,,150.9,,"4,819.6",,
,,2011,"8,246",0,,643.4,,"5,463.0",,
,,2012,"5,008",0,,155.8,,"5,618.8",,
,,2013,"8,226",0,,159.8,,"5,778.6",,
,,2014,"7,321",0,,60.5,,"5,839.1",,
,,2015,"8,192",0,,17.7,,"5,856.8",,
,,2016,"8,783",0,,25.9,,"5,882.7",,
,,2017,"7,559",0,,24.5,,"5,907.2",  25.93 ,-0.0191306